Codi_Sector_Activitat,Nom_Sector_Activitat,Codi_Grup_Activitat,Nom_Grup_Activitat,Codi_Activitat_2022,Nom_Activitat,Nom_Local,Latitud,Longitud,Direccio_Unica,Nom_Via
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373652619,2.154906839,"178400, 11-11, LOC 20",LLEIDA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373639536,2.167507857,"257700, 59-61, LOC 10",PIQUER
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373483546,2.169082314,"175809, 12-12, LOC 10",LAFONT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372416766,2.169566453,"052900, 44-44, LOC 10",CABANES
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.374775735,2.168965638,"198804, 65-65, LOC 20",AV PARAL·LEL
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374793849,2.162154168,"094707, 1-3, LOC 10",CREU DELS MOLERS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374601633,2.155385613,"329902, 85-87, LOC 10",TAMARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374428537,2.154488415,"178400, 5-5, LOC 10",LLEIDA
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.37366067,2.155195177,"234500, 76-76, LOC 20",OLIVERA
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.373260127,2.155117393,"178400, 15-15, LOC 20",LLEIDA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373767346,2.161216736,"108007, 53-53, LOC 20",ELKANO
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.37245199,2.159190327,"086301, 56-56, LOC 10",CONCÒRDIA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372916947,2.165681273,"294207, 39-39, LOC 10",SALVÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372579803,2.165450603,"294207, 53-53, LOC 10",SALVÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.371544208,2.156113833,"281806, 63-63, LOC 20",RICART
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372771019,2.163180113,"195500, 46-46, LOC 10",MARGARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373545942,2.155358791,"234500, 51-51, LOC 10",OLIVERA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373146405,2.163467109,"195500, 31-31, LOC 20",MARGARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.371585471,2.159301639,"311805, 5-5, LOC 10",SANCHO MARRACO
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372871659,2.155407071,"178400, 25-25, LOC 20",LLEIDA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.371976966,2.169339806,"052900, 54-54, LOC 10",CABANES
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.371687119,2.165238708,"189202, 15-15, LOC 10",MAGALHAES
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.373426182,2.159744203,"234500, 6-6, LOC 10",OLIVERA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372379529,2.168122083,"043502, 20-22, LOC 10",BLESA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373666708,2.155424505,"234500, 70-70, LOC 10",OLIVERA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372781083,2.155860364,"129459, 36-36, LOC 10",FONT HONRADA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372529483,2.166650891,"130006, 31-31, LOC 10",FONTRODONA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372485201,2.168576717,"175809, 30-32, LOC 10",LAFONT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374151784,2.169329077,"361009, 54-62, LOC 30",VILA I VILÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372755923,2.160121053,"189202, 75-79, LOC 20",MAGALHAES
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.370907142,2.162497491,"195500, 84-86, LOC 10",MARGARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374227262,2.169059515,"361009, 64-66, LOC 20",VILA I VILÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.3744859,2.155242115,"329902, 83-83, LOC 10",TAMARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37230103,2.160110325,"133605, 6-8, LOC 10",FRANÇA XICA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37250533,2.160440236,"273400, 34-36, LOC 20",RADAS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37393038,2.15489611,"329902, 70-70, LOC 10",TAMARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372089684,2.160829157,"017105, 22-24, LOC 10",ANNÍBAL
